Site Code,Site Name,"IDWF, l/s","Maximum Infiltration Rate      (Imax, l/s)",Note,Site Name,Previous max infiltration rate where known,"Maximum Infiltration Rate (Imax, l/s)",Annual Return Population Equivalent (2020) (Unrounded),Previous Trade Effluent where known,Trade Effluent (l/day) (2020),Water Resource Zone,TW Est. of per capita domestic flow in this area (l/hd/day)
HANWS1ZZ,Hanwell,0.1, 2.8 ,Reviewed 2021,Hanwell,,3.20, 267 ,, -   , SWOX (2020) , 139.9 
HARPS1ZZ,Harpenden,5.7, 32.4 ,Reviewed 2021,Harpenden,,16.70," 37,700 ",," 67,479 ", Z3 Lee (Affinity 2020) , 145.0 
HARTS1ZZ,Hartley Wintney,8.2, 60.0 ,Reviewed 2017,Hartley Wintney,,61.81," 19,257 ",," 59,489 ", WRZ4 Bracknell (South East Water 2020) , 146.2 
HASLS1ZZ,Haslemere,19.5, 42.0 ,Reviewed 2022,Haslemere,,38.40," 14,666 ",," 17,279 ", Guildford (2020) , 144.5 
HATFS1ZZ,Hatfield Heath,4.2, 16.1 ,Reviewed 2022,Hatfield Heath,,13.50," 2,689 ",, -   , Z5 Stort (Affinity Water 2020) , 131.0 
HEADS1ZZ,Headley (Surrey),0.1, no data ,"Based on solar year 2022, unverified",Headley (Surrey),,, 294 ,, -   , WRZ (Sutton & East Surrey 2020) , 145.5 
HEMP01ZZ,Hemplands,no data, no data ,no data,Hemplands,,, 95 ,, -   , SWOX (2020) , 139.9 
HENLS1ZZ,Henley,7.4, 17.0 ,Reviewed 2021,Henley,,16.90," 11,842 ",," 12,553 ", Henley (2020) , 151.9 
HIGH05ZZ,Highfields (Frampton Mansell) ,no data, no data ,no data,Highfields (Frampton Mansell) ,,, 30 ,, -   , SWOX (2020) , 139.9 
HIGHS1ZZ,Highworth,3.8, 14.2 ,Reviewed 2018,Highworth,,14.71," 8,303 ",," 1,894 ", SWOX (2020) , 139.9 
HOCKS1ZZ,Hockford (Pirbright),11.7, 42.7 ,"Based on solar year 2021, unverified",Hockford (Pirbright),,41.90," 16,331 ",," 15,701 ", Z6 Wey (Affinity 2020) , 141.9 
HOGSS1ZZ,Hogsmill,116.0, 611.2 ,Reviewed 2021,Hogsmill,,579.74," 386,701 ",," 589,285 ", London (2020) , 138.4 
HOLMS1ZZ,Holmwood,3.1, 24.0 ,Reviewed 2021,Holmwood,,24.24," 6,048 ",, -   , WRZ (Sutton & East Surrey 2020) , 145.5 
HOOKS1ZZ,Hook Norton,0.1, 3.8 ,Reviewed 2022,Hook Norton,,3.10," 2,036 ",, -   ,SWOX (2020), 139.9 
HORLS1ZZ,Horley (Oxon),0.2, 2.5 ,Reviewed 2022,Horley (Oxon),,2.20, 334 ,, -   ,SWOX (2020), 139.9 
HORLS2ZZ,Horley (Surrey),0.0, 62.0 ,Not reviewed 2022,Horley (Surrey),,63.00," 38,978 ",," 37,409 ", WRZ (Sutton & East Surrey 2020) , 145.5 
HORNS1ZZ,Hornton,0.8, 2.1 ,Reviewed 2022,Hornton,,2.10, 266 ,, -   , SWOX (2020) , 139.9 
HORTS1ZZ,Horton-Cum-Studley,0.1, 2.3 ,Reviewed 2022,Horton-Cum-Studley,1.00,2.20, 424 ,, -   ,Slough Wycombe Aylesbury (2020), 138.3 
HOUNS1ZZ,Mattingley (Hound Green),0.1, no data ,"Based on solar year 2018, unverified",Mattingley (Hound Green),,, 99 ,, -   , WRZ4 Bracknell (South East Water 2020) , 146.2 
HUNGS1ZZ,Hungerford,2.2, 8.1 ,Reviewed 2022,Hungerford,,8.10," 5,592 ",," 17,136 ", Kennet Valley (2020) , 138.3 
HUNTS1ZZ,Huntercombe,0.7, no data ,"Based on solar year 2021, unverified",Huntercombe,,, 859 ,, -   , SWOX (2020) , 139.9 
HURLS1ZZ,Hurley,1.0, no data ,"Based on solar year 2021, unverified",Hurley,,," 1,931 ",, -   , Slough Wycombe Aylesbury (2020) , 138.3 
IRONS1ZZ,Ironsbottom (Sidlow),0.1, no data ,"Based on solar year 2019, unverified",Ironsbottom (Sidlow),,, 133 ,, -   , WRZ (Sutton & East Surrey 2020) , 145.5 
ISLIS1ZZ,Islip (New),0.2, 3.8 ,Not reviewed 2021,Islip (New),0.00,3.80, 838 ,, -   ,SWOX (2020), 139.9 
IVERS1ZZ,Iver North,27.9, 67.1 ,Reviewed 2022,Iver North,,67.10," 9,089 ",," 4,739 ", Z1 Misbourne (Affinity 2020) , 134.0 
KEMPS1ZZ,Kempsford,0.5, no data ,"Based on solar year 2021, unverified",Kempsford,,, 992 ,, -   , SWOX (2020) , 139.9 
KIMPS1ZZ,Kimpton,0.0, 6.7 ,Reviewed 2021,Kimpton,,6.70," 2,144 ",, -   , Z3 Lee (Affinity 2020) , 145.0 
KINGS1ZZ,Kingsclere,2.9, 18.6 ,Reviewed 2022,Kingsclere,,18.60," 4,055 ",, -   , Kingsclere (Southern Water 2020) , 163.3 
KINGS2ZZ,Kings Sutton,1.0, 9.4 ,Not reviewed 2021,Kings Sutton,0.00,9.40," 3,884 ",, -   ,Ruthamford (Anglian Water 2020), 128.8 
KINGS3ZZ,Kingston Bagpuize,1.2, 6.6 ,Reviewed 2021,Kingston Bagpuize,8.00,6.60," 3,812 ",, -   ,SWOX (2020), 139.9 
KINTS1ZZ,Kintbury,0.8, no data ,"Based on solar year 2017, unverified",Kintbury,,10.10," 3,502 ",, -   , Kennet Valley (2020) , 138.3 
LBASS1ZZ,Lower Basildon,0.0, no data ,"Based on solar year 2017, unverified",Lower Basildon,,0.03, 206 ,, -   , SWOX (2020) , 139.9 
LBERS1ZZ,Little Berkhamstead,0.0, 1.8 ,Reviewed 2021,Little Berkhamstead,,1.80, 241 ,, -   , Z3 Lee (Affinity 2020) , 145.0 
LCOMS1ZZ,Little Compton,0.0, 2.5 ,Reviewed 2022,Little Compton,,1.60, 336 ,, -   ,Strategic Grid (Severn Trent 2020), 125.2 
LCRES1ZZ,Long Crendon,0.3, no data ,"Based on solar year 2017, unverified",Long Crendon,,0.24," 2,609 ",, 831 ,Slough Wycombe Aylesbury (2020), 138.3 
LEADS1ZZ,Leaden Roding,0.1, 1.9 ,Reviewed 2021,Leaden Roding,,1.90, 648 ,, -   , Z5 Stort (Affinity Water 2020) , 131.0 
LEATS1ZZ,Leatherhead,6.5, 106.0 ,Reviewed 2021,Leatherhead,,106.00," 49,138 ",," 118,960 ", WRZ (Sutton & East Surrey 2020) , 145.5 
LECHS1ZZ,Lechlade,5.2, no data ,"Based on solar year 2020, unverified",Lechlade,0.00,16.00," 2,618 ",451, 451 ,SWOX (2020), 139.9 
LECKS1ZZ,Leckhampstead,0.0, no data ,"Based on solar year 2022, unverified",Leckhampstead,,, 218 ,, -   , SWOX (2020) , 139.9 
LEWKS1ZZ,Lewknor,1.0, 4.9 ,Reviewed 2022,Lewknor,3.30,7.80, 388 ,, -   ,SWOX (2020), 139.9 
LHALS1ZZ,Little Hallingbury,1.1, 6.7 ,Reviewed 2022,Little Hallingbury,,5.30," 1,667 ",, -   , Z5 Stort (Affinity Water 2020) , 131.0 
LIGHS1ZZ,Lightwater,20.4, 61.8 ,Reviewed 2021,Lightwater,,61.80," 19,406 ",," 55,061 ", Z6 Wey (Affinity 2020) , 141.9 
LITTS1ZZ,Littleworth,0.0, no data ,"Based on solar year 2018, unverified",Littleworth,,0.02, 151 ,, -   ,SWOX (2020), 139.9 
LMARS1ZZ,Little Marlow,333.7, 750.4 ,Reviewed 2022,Little Marlow,,750.00," 185,938 ",," 576,084 ", Slough Wycombe Aylesbury (2020) , 138.3 
LMILS1ZZ,Little Milton,1.6, no data ,"Based on solar year 2017, unverified",Little Milton,0.00,1.54, 994 ,, -   ,SWOX (2020), 139.9 
LONGS1ZZ,Eversley Cross (Longwater),0.4, no data ,"Based on solar year 2018, unverified",Eversley Cross (Longwater),,5.70," 1,015 ",, -   , WRZ4 Bracknell (South East Water 2020) , 146.2 
LONGS2ZZ,Longborough,0.6, 2.6 ,Reviewed 2022,Longborough,0.00,0.38, 649 ,, -   ,SWOX (2020), 139.9 
LREAS1ZZ,Long Reach,869.6," 1,487.9 ",Not reviewed 2022,Long Reach,,1488.00," 881,509 ",," 1,848,976 ", London (2020) , 138.4 
LSUTS1ZZ,Long Sutton,0.0, no data ,"Based on solar year 2018, unverified",Long Sutton,,0.05, 91 ,, -   , WRZ4 Bracknell (South East Water 2020) , 146.2 
LUDGS1ZZ,Ludgershall,0.5, no data ,"Based on solar year 2017, unverified",Ludgershall,,0.47, 411 ,, -   , Slough Wycombe Aylesbury (2020) , 138.3 
LWITS1ZZ,Long Wittenham,0.4, no data ,"Based on solar year 2018, unverified",Long Wittenham,,0.36, 913 ,, -   ,SWOX (2020), 139.9 
MAIDS1ZZ,Maidenhead,51.7, 168.0 ,Reviewed 2022,Maidenhead,,168.00," 82,990 ",," 624,519 ", WRZ4 Bracknell (South East Water 2020) , 146.2 
MANUS1ZZ,Manuden,0.3, 2.8 ,Reviewed 2021,Manuden,,2.80, 761 ,, -   , Z5 Stort (Affinity Water 2020) , 131.0 
MAPLS1ZZ,Maple Lodge,405.0," 1,192.0 ",Reviewed 2021,Maple Lodge,,1192.00," 527,209 ",," 1,666,381 ", Z2 Colne (Affinity 2020) , 145.8 
MARKS1ZZ,Markyate,1.7, 11.6 ,Reviewed 2022,Markyate,,11.60," 5,808 ",," 1,422 ", Z3 Lee (Affinity 2020) , 145.0 
MARLS1ZZ,Marlborough,66.8, 123.0 ,Reviewed 2019,Marlborough,,126.71," 9,934 ",," 27,821 ", SWOX (2020) , 139.9 
MARSS1ZZ,Marsh Gibbon,1.7, 8.5 ,Not reviewed 2021,Marsh Gibbon,,8.50," 2,295 ",, -   ,Slough Wycombe Aylesbury (2020), 138.3 
MBARS1ZZ,Middle Barton,0.8, 6.5 ,Reviewed 2022,Middle Barton,0.00,5.80," 1,662 ",, -   ,WRZ (Sutton & East Surrey 2020), 145.5 
MERSS1ZZ,Merstham,1.0, 21.1 ,Reviewed 2022,Merstham,,21.10," 9,280 ",," 16,762 ", WRZ (Sutton & East Surrey 2020) , 145.5 
MIDDS1ZZ,Middleton Stoney,0.1, 1.4 ,Not reviewed 2022,Middleton Stoney,0.00,0.26, 202 ,, -   ,SWOX (2020), 139.9 
MIDDS2ZZ,Middleton Cheney,0.6, 11.5 ,Reviewed 2017,Middleton Cheney,11.50,11.50," 4,642 ",, -   ,Ruthamford (Anglian Water 2020), 128.8 
MIDGS1ZZ,Midgham,0.0, no data ,"Based on solar year 2018, unverified",Midgham,,0.02, 98 ,, -   , Kennet Valley (2020) , 138.3 
MILLS1ZZ,Hatfield (Mill Green),5.0, 32.8 ,Reviewed 2020,Hatfield (Mill Green),,30.00," 21,092 ",," 26,189 ", Z3 Lee (Affinity 2020) , 145.0 
MILTS1ZZ,Milton-under-Wychwood,5.5, 25.7 ,Reviewed 2021,Milton-under-Wychwood,25.70,25.70," 3,687 ",, -   ,SWOX (2020), 139.9 
MOGDS1ZZ,Mogden,2686.5, no data ,"Based on solar year 2019, unverified",Mogden,,4500.00," 2,072,222 ",," 9,629,188 ", Z4 Pinn (Affinity 2020) 50%; London (2020) 50% , 153.5 
MOLLS1ZZ,Mollington,0.4, 2.4 ,Not reviewed 2022,Mollington,,0.49, 506 ,, -   , SWOX (2020) , 139.9 
MORES1ZZ,Moreton,0.8, 3.9 ,Reviewed 2022,Moreton,,3.90, 292 ,," 23,668 ", Z5 Stort (Affinity Water 2020) , 131.0 
MORES2ZZ,Moreton Pinkney,0.1, 1.1 ,Not reviewed 2022,Moreton Pinkney,1.10,1.10, 337 ,, -   ,Ruthamford (Anglian Water 2020), 128.8 
MORES3ZZ,Moreton in Marsh,7.3, 21.2 ,Not reviewed 2022,Moreton in Marsh,21.70,22.80," 5,475 ",," 11,647 ",SWOX (2020), 139.9 
MORTS1ZZ,Mortimer (Stratfield),5.9, 26.3 ,Reviewed 2022,Mortimer (Stratfield),,26.00," 5,229 ",, -   , Kennet Valley (2020) , 138.3 
NAGSS1ZZ,Brentwood,27.3, 65.0 ,Not reviewed 2021,Brentwood,,65.00," 36,181 ",," 2,354 ", Essex (Essex & Suffolk 2020) , 145.3 
NAUNS1ZZ,Naunton,0.1, no data ,"Based on solar year 2017, unverified",Naunton,0.00,4.60, 286 ,, -   ,SWOX (2020), 139.9 
NETTS1ZZ,Nettlebed,0.0, 0.7 ,Reviewed 2022,Nettlebed,,0.50, 690 ,, 221 , SWOX (2020) , 139.9 
NEWBS1ZZ,Newbury,161.0, 375.0 ,Reviewed 2019,Newbury,,375.00," 85,320 ",," 536,357 ", Kennet Valley (2020) , 138.3 
NEWMS1ZZ,Eversley (New Mill),no data, no data ,no data,Eversley (New Mill),,, 670 ,, -   , WRZ4 Bracknell (South East Water 2020) , 146.2 
NORTS1ZZ,Northleach,0.3, no data ,"Based on solar year 2019, unverified",Northleach,0.00,0.50," 1,648 ",, -   ,SWOX (2020), 139.9 
NUNES1ZZ,Nuneham Courtenay,0.1, no data ,"Based on solar year 2017, unverified",Nuneham Courtenay,0.00,0.05, 364 ,, -   ,SWOX (2020), 139.9 
NWEAS1ZZ,North Weald,1.9, 11.2 ,Reviewed 2021,North Weald,,11.20," 5,505 ",, -   , Z5 Stort (Affinity Water 2020) , 131.0 
OXFOS1ZZ,Oxford,149.0, 509.0 ,Reviewed 2021,Oxford,509.00,509.00," 234,621 ","1,484,235"," 1,484,235 ",SWOX (2020), 139.9 
PANGS1ZZ,Pangbourne,6.2, 39.2 ,Reviewed 2022,Pangbourne,,30.50," 11,252 ",," 11,755 ", Kennet Valley (2020) , 138.3 
PIKE01ZZ,Pike Hill Rise ,0.0, no data ,"Based on solar year 2019, unverified",Pike Hill Rise ,0.00,, 16 ,, -   ,SWOX (2020), 139.9 
PRINS1ZZ,Princes Risborough,20.1, 123.0 ,Reviewed 2021,Princes Risborough,123.40,123.00," 12,929 ",," 1,495 ",Slough Wycombe Aylesbury (2020), 138.3 
PRIOS1ZZ,Priors Marston,0.8, 3.8 ,Reviewed 2022,Priors Marston,0.00,0.57, 462 ,, -   ,Strategic Grid (Severn Trent 2020), 125.2 
PURTS1ZZ,Purton,1.1, 9.8 ,Reviewed 2022,Purton,0.00,1.40," 4,105 ",, -   ,SWOX (2020), 139.9 
RAMSS1ZZ,Ramsbury,1.8, 40.0 ,Reviewed 2021,Ramsbury,,40.00," 3,271 ",," 5,063 ", SWOX (2020) , 139.9 
RATLS1ZZ,Ratley,0.0, 0.4 ,Not reviewed 2022,Ratley,,0.04, 217 ,, -   , Strategic Grid (Severn Trent 2020) , 125.2 
READS1ZZ,Reading,311.0, 500.0 ,Reviewed 2021,Reading,,500.00," 209,326 ",," 1,096,188 ", Kennet Valley (2020) , 138.3 
REMES1ZZ,Remenham Hill,0.0, no data ,"Based on solar year 2022, unverified",Remenham Hill,,0.92, 89 ,, -   , Henley (2020) , 151.9 
RIPLS1ZZ,Ripley,29.1, 116.0 ,Reviewed 2020,Ripley,,117.16," 19,603 ",," 2,095 ", Z6 Wey (Affinity 2020) , 141.9 
RIVES1ZZ,Riverside,329.6, no data ,"Based on solar year 2019, unverified",Riverside,,770.00," 405,765 ",," 2,043,261 ", Essex (Essex & Suffolk 2020) , 145.3 
ROLLS1ZZ,Great Rollright,0.1, no data ,"Based on solar year 2018, unverified",Great Rollright,,0.07, 422 ,, -   ,SWOX (2020), 139.9 
ROWSS1ZZ,Rowsham,0.0, no data ,"Based on solar year 2018, unverified",Rowsham,0.00,0.02, 100 ,, -   ,Ruthamford (Anglian Water 2020), 128.8 
RUSPS1ZZ,Rusper (Closed - diverted to Crawley),, no data ,no data,Rusper (Closed - diverted to Crawley),,,  ,,  ,  ,  
RYECS1ZZ,Rye Common (Dogmersfield),0.0, no data ,"Based on solar year 2018, unverified",Rye Common (Dogmersfield),,, 33 ,, -   , WRZ4 Bracknell (South East Water 2020) , 146.2 
RYEMS1ZZ,Rye Meads,227.0, 970.0 ,Reviewed 2021,Rye Meads,,970.00," 404,378 ",," 5,659,575 ", Z3 Lee (Affinity 2020) 50%; Z5 Stort (Affinity Water 2020) 50% , 138.0 
SANDS1ZZ,Sandford St Martin,0.0, no data ,"Based on solar year 2018, unverified",Sandford St Martin,0.00,0.02, 143 ,"3,779"," 3,779 ",SWOX (2020), 139.9 
SANDS2ZZ,Sandhurst,17.0, 74.2 ,Reviewed 2021,Sandhurst,,74.20," 34,299 ",," 37,866 ", WRZ4 Bracknell (South East Water 2020) , 146.2 
SELBS1ZZ,Selbourne,0.1, 2.8 ,Reviewed 2022,Selbourne,,2.80, 531 ,, -   , WRZ5 Farnham (South East Water 2020) , 139.0 
SEVES1ZZ,Sevenhampton Village,0.3, no data ,"Based on solar year 2017, unverified",Sevenhampton Village,0.00,0.25, 109 ,, -   ,SWOX (2020), 139.9 
SHABS1ZZ,Shabbington,0.0, 1.0 ,Reviewed 2022,Shabbington,0.70,1.00, 514 ,, -   ,Slough Wycombe Aylesbury (2020), 138.3 
SHALS1ZZ,Shalbourne,0.1, 1.8 ,Reviewed 2022,Shalbourne,,1.90, 504 ,, -   , SWOX (2020) , 139.9 
SHAMS1ZZ,Shamley Green,14.3, 41.5 ,Reviewed 2022,Shamley Green,,39.30," 5,750 ",, -   , Guildford (2020) , 144.5 
SHELS1ZZ,Shellingford,1.1, no data ,"Based on solar year 2018, unverified",Shellingford,0.00,1.11, 140 ,, -   ,SWOX (2020), 139.9 
SHERS2ZZ,Sherbourne St John,1.8, 19.9 ,Reviewed 2020,Sherbourne St John,,19.90," 1,885 ",, -   , WRZ4 Bracknell (South East Water 2020) , 146.2 
SHERS3ZZ,Sherfield-on-Loddon,2.9, 23.0 ,Reviewed 2021,Sherfield-on-Loddon,,23.00," 5,747 ",, -   , WRZ4 Bracknell (South East Water 2020) , 146.2 
SHIRS1ZZ,Shirburn H/S,0.0, no data ,"Based on solar year 2017, unverified",Shirburn H/S,0.00,, 65 ,, -   ,SWOX (2020), 139.9 
SHOTS1ZZ,Shotteswell,0.0, no data ,"Based on solar year 2019, unverified",Shotteswell,,0.03, 174 ,, -   , Strategic Grid (Severn Trent 2020) , 125.2 
SHRIS1ZZ,Shrivenham,6.1, 37.4 ,Reviewed 2019,Shrivenham,38.80,37.40," 6,496 ",," 3,040 ",SWOX (2020), 139.9 
SHUTS1ZZ,Shutford,1.8, 10.1 ,Reviewed 2018,Shutford,,11.90," 1,179 ",, -   ,SWOX (2020), 139.9 
SILCS1ZZ,Silchester,29.7, 113.0 ,Reviewed 2021,Silchester,,113.00," 18,635 ",," 296,257 ", Kennet Valley (2020) , 138.3 
SLEIS1ZZ,South Leigh,0.2, 3.1 ,Reviewed 2021,South Leigh,1.80,3.10, 320 ,, -   ,SWOX (2020), 139.9 
SLOUS1ZZ,Slough,267.0, 620.0 ,Reviewed 2021,Slough,,620.00," 224,621 ",," 1,096,906 ", Slough Wycombe Aylesbury (2020) , 138.3 
SMORS1ZZ,South Moreton,0.5, 5.7 ,Reviewed 2022,South Moreton,,5.10," 1,219 ",, -   , SWOX (2020) , 139.9 
SONNS1ZZ,Sonning Common,0.6, 2.4 ,Reviewed 2022,Sonning Common,,2.40," 4,937 ",," 14,114 ", SWOX (2020) , 139.9 
SOUT05ZZ,Southrop ,0.0, no data ,"Based on solar year 2019, unverified",Southrop ,0.00,, 32 ,, -   ,SWOX (2020), 139.9 
SPELS1ZZ,Spelsbury,0.0, no data ,"Based on solar year 2018, unverified",Spelsbury,,0.04, 106 ,, -   , SWOX (2020) , 139.9 
STADS1ZZ,Stadhampton,2.3, no data ,"Based on solar year 2018, unverified",Stadhampton,0.00,7.50," 1,065 ",, -   ,SWOX (2020), 139.9 
STANS1ZZ,Standlake,4.5, no data ,"Based on solar year 2018, unverified",Standlake,18.00,18.00," 1,796 ","11,502"," 11,502 ",SWOX (2020), 139.9 
STANS2ZZ,Standon,0.9, 9.1 ,Reviewed 2021,Standon,,9.10," 3,781 ",, -   , Z5 Stort (Affinity Water 2020) , 131.0 
STANS3ZZ,Stanford-In-The-Vale,0.8, no data ,"Based on solar year 2017, unverified",Stanford-In-The-Vale,0.00,5.00," 2,286 ","8,497"," 8,497 ",SWOX (2020), 139.9 
STANS4ZZ,Stanford Rivers,3.6, 30.3 ,Reviewed 2021,Stanford Rivers,,30.30," 8,677 ",," 19,365 ", Z5 Stort (Affinity Water 2020) , 131.0 
STANS5ZZ,Stansted Mountfitchet,5.5, 20.8 ,Reviewed 2021,Stansted Mountfitchet,,20.80," 9,818 ",," 8,198 ", Z5 Stort (Affinity Water 2020) , 131.0 
STANS7ZZ,Stanton St John,0.6, no data ,"Based on solar year 2018, unverified",Stanton St John,0.00,0.55, 325 ,, -   ,SWOX (2020), 139.9 
STANS8ZZ,Stanton Harcourt,3.1, 13.1 ,Reviewed 2022,Stanton Harcourt,0.00,13.10," 1,380 ",970, 970 ,SWOX (2020), 139.9 
STEWS1ZZ,Stewkley,0.5, 5.1 ,Reviewed 2022,Stewkley,0.00,4.90," 1,667 ",, -   ,Ruthamford (Anglian Water 2020), 128.8 
STONS1ZZ,Stone,2.7, 16.4 ,Reviewed 2021,Stone,0.00,16.40," 3,285 ",, -   ,Slough Wycombe Aylesbury (2020), 138.3 
STRAS1ZZ,West End Green,0.0, no data ,"Based on solar year 2022, unverified",West End Green,,, 52 ,, -   , Kennet Valley (2020) , 138.3 
STRES1ZZ,Streatley,0.1, no data ,"Based on solar year 2018, unverified",Streatley,,2.00, 721 ,, -   , SWOX (2020) , 139.9 
STUBS1ZZ,Ashampstead (The Stubbles),0.0, no data ,"Based on solar year 2017, unverified",Ashampstead (The Stubbles),,, 163 ,, -   , SWOX (2020) , 139.9 
STUDS1ZZ,Studham,0.2, 10.1 ,Not reviewed 2021,Studham,,5.30," 2,138 ",," 17,790 ", Z3 Lee (Affinity 2020) , 145.0 
SULHS1ZZ,Sulhampstead,0.1, no data ,"Based on solar year 2016, unverified",Sulhampstead,,, 97 ,, -   , Kennet Valley (2020) , 138.3 
SWINS1ZZ,Swindon (Rodbourne),157.0, 501.0 ,Reviewed 2021,Swindon (Rodbourne),501.00,501.00," 222,614 ","2,062,762"," 2,062,762 ",SWOX (2020), 139.9 
SYRES1ZZ,Syreford,0.0, no data ,"Based on solar year 2017, unverified",Syreford,0.00,0.00, 5 ,, -   ,SWOX (2020), 139.9 
TACKS1ZZ,Tackley,0.5, no data ,"Based on solar year 2022, unverified",Tackley,0.00,0.40, 873 ,, -   ,SWOX (2020), 139.9 
TAKES1ZZ,Takeley,0.5, 6.5 ,Reviewed 2019,Takeley,,6.57," 1,706 ",," 3,927 ", Z5 Stort (Affinity Water 2020) , 131.0 
TARL01ZZ,Tarlton,0.0, no data ,"Based on solar year 2019, unverified",Tarlton,,0.01, 41 ,, -   ,SWOX (2020), 139.9 
TEMPS1ZZ,Temple Guiting,0.0, no data ,"Based on solar year 2019, unverified",Temple Guiting,0.00,0.00, 33 ,, -   ,SWOX (2020), 139.9 
TETSS1ZZ,Tetsworth,0.3, no data ,"Based on solar year 2017, unverified",Tetsworth,0.00,0.26," 1,174 ","1,240"," 1,240 ",SWOX (2020), 139.9 
THAMS1ZZ,Thame,12.4, 31.1 ,Reviewed 2022,Thame,26.60,23.60," 12,127 ","69,463"," 69,463 ",SWOX (2020), 139.9 
THERS1ZZ,Therfield,0.2, 5.0 ,Reviewed 2022,Therfield,,5.00," 1,164 ",, -   , Z5 Stort (Affinity Water 2020) , 131.0 
THEYS1ZZ,Theydon Bois,4.9, 16.1 ,Reviewed 2022,Theydon Bois,,16.10," 3,937 ",," 4,781 ", Z5 Stort (Affinity Water 2020) , 131.0 
THORS1ZZ,Thornwood,1.3, 3.9 ,Reviewed 2021,Thornwood,,3.90," 1,050 ",," 7,605 ", Z5 Stort (Affinity Water 2020) , 131.0 
THORS2ZZ,Thorpe Mandeville,0.1, no data ,"Based on solar year 2017, unverified",Thorpe Mandeville,0.00,0.11, 137 ,, -   ,Ruthamford (Anglian Water 2020), 128.8 
TIDDS1ZZ,Tiddington,0.6, no data ,"Based on solar year 2017, unverified",Tiddington,0.00,0.62, 749 ,, -   ,SWOX (2020), 139.9 
TOWES1ZZ,Towersey,1.3, 4.8 ,Reviewed 2022,Towersey,0.00,4.70, 446 ,, -   ,SWOX (2020), 139.9 
TRINS1ZZ,Tring,2.1, no data ,"Based on solar year 2017, unverified",Tring,8.00,8.00," 12,399 ","44,884"," 44,884 ",Slough Wycombe Aylesbury (2020), 138.3 
TYLES0ZZ,Tylers Lane Bucklebury,0.0, no data ,"Based on solar year 2017, unverified",Tylers Lane Bucklebury,,, 89 ,, -   , Kennet Valley (2020) , 138.3 
UFFIS1ZZ,Uffington,0.4, 2.2 ,Reviewed 2022,Uffington,1.50,2.20, 651 ,, -   ,SWOX (2020), 139.9 
UHEYS1ZZ,Heyford,3.8, 12.1 ,Reviewed 2021,Heyford,0.00,10.90," 2,510 ",, -   ,SWOX (2020), 139.9 
UWINS1ZZ,Upper Winchenden,0.0, no data ,"Based on solar year 2018, unverified",Upper Winchenden,,, 69 ,, -   ,Slough Wycombe Aylesbury (2020), 138.3 
WADDS1ZZ,Waddesdon,1.2, 7.4 ,Reviewed 2022,Waddesdon,6.30,6.50," 3,341 ","35,213"," 35,213 ",Slough Wycombe Aylesbury (2020), 138.3 
WANBS1ZZ,Wanborough,2.4, 12.0 ,Reviewed 2021,Wanborough,12.00,12.00," 2,448 ",, -   ,SWOX (2020), 139.9 
WANTS1ZZ,Wantage,36.9, 132.0 ,Reviewed 2022,Wantage,,132.00," 29,056 ",," 85,960 ",SWOX (2020), 139.9 
WARGS1ZZ,Wargrave,121.0, 481.0 ,Reviewed 2021,Wargrave,,481.00," 122,545 ",," 145,768 ", Kennet Valley (2020) , 138.3 
WARMS1ZZ,Warmington,0.0, 1.0 ,Reviewed 2015,Warmington,,1.01, 286 ,, -   , Strategic Grid (Severn Trent 2020) , 125.2 
WARWS1ZZ,Warwick Wold,0.0, no data ,"Based on solar year 2022, unverified",Warwick Wold,,0.01, 48 ,, -   , WRZ (Sutton & East Surrey 2020) , 145.5 
WASHS1ZZ,Washwater,5.5, 51.5 ,Reviewed 2022,Washwater,,48.60," 7,513 ",, -   , Kingsclere (Southern Water 2020) , 163.3 
WATLS1ZZ,Watlington,7.8, 42.4 ,Reviewed 2021,Watlington,23.50,42.40," 2,850 ",, -   ,SWOX (2020), 139.9 
WELFS1ZZ,Welford,0.0, no data ,"Based on solar year 2019, unverified",Welford,,0.06, 355 ,, -   , SWOX (2020) , 139.9 
WESTS1ZZ,Weston (Herts),0.2, 2.9 ,Reviewed 2021,Weston (Herts),,2.90," 1,026 ",, -   , Z3 Lee (Affinity 2020) , 145.0 
WESTS3ZZ,Weston-On-The-Green,1.6, 8.2 ,Reviewed 2022,Weston-On-The-Green,,6.50, 549 ,, -   , SWOX (2020) , 139.9 
WEYBS1ZZ,Weybridge,46.5, 72.6 ,Reviewed 2021,Weybridge,,72.60," 21,854 ",," 165,630 ", Z6 Wey (Affinity 2020) , 141.9 
WHEAS1ZZ,Wheatley,2.5, 13.9 ,Reviewed 2022,Wheatley,0.00,13.80," 5,794 ","1,835"," 1,835 ",SWOX (2020), 139.9 
WHITS1ZZ,Whitchurch (Oxon),0.0, 4.8 ,Reviewed 2021,Whitchurch (Oxon),,4.80," 1,511 ",," 7,838 ", SWOX (2020) , 139.9 
WHITS3ZZ,White Roding,0.0, 0.9 ,Reviewed 2022,White Roding,,0.90, 201 ,, -   , Z5 Stort (Affinity Water 2020) , 131.0 
WHITS4ZZ,White Waltham,4.2, no data ,"Based on solar year 2018, unverified",White Waltham,,20.00," 8,050 ",," 90,033 ", WRZ4 Bracknell (South East Water 2020) , 146.2 
