DATE,MAX_IR (l/s),I_DWF (l/s),I_DWF_MAX (l/s),G (2020),E,TDV (l),PE (forecasted 2021),PE (unrounded 2020),PE (forcasted 2020)
08.08.2021, 3.0 ,1.0,3.60, 67.4 ," 1,761.7 ",268.69," 1,558 "," 1,662 "," 1,553 "
09.08.2021, 4.1 ,1.6,1.80, 27.1 ," 1,940.3 ",260.54," 1,558 "," 1,662 "," 1,553 "
10.08.2021, 3.3 ,2.1,5.60, 146.7 ," 1,081.0 ",266.31," 1,558 "," 1,662 "," 1,553 "
11.08.2021, 5.2 ,2.4,1.10, 136.8 ," 1,771.2 ",237.07," 1,558 "," 1,662 "," 1,553 "
12.08.2021, 6.2 ,1.6,0.70, 132.4 ," 1,163.9 ",250.07," 1,558 "," 1,662 "," 1,553 "
13.08.2021, 1.5 ,1.7,3.70, 75.6 ," 1,392.8 ",246.77," 1,558 "," 1,662 "," 1,553 "
14.08.2021, 1.8 ,2.9,8.20, 28.0 ," 1,585.5 ",244.69," 1,558 "," 1,662 "," 1,553 "
15.08.2021, 3.4 ,1.7,6.90, 29.4 ," 1,209.0 ",253.23," 1,558 "," 1,662 "," 1,553 "
16.08.2021, 9.1 ,2.3,3.90, 40.4 ," 1,628.6 ",228.06," 1,558 "," 1,662 "," 1,553 "
17.08.2021, 0.3 ,0.3,8.50, 154.8 ," 1,168.3 ",241.28," 1,558 "," 1,662 "," 1,553 "
18.08.2021, 9.9 ,1.1,1.80, 109.2 ," 1,458.7 ",235.95," 1,558 "," 1,662 "," 1,553 "
19.08.2021, 9.8 ,1.4,1.10, 45.7 ," 1,436.0 ",242.80," 1,558 "," 1,662 "," 1,553 "
20.08.2021, 3.5 ,2.2,10.00, 159.6 ," 1,861.2 ",231.60," 1,558 "," 1,662 "," 1,553 "
21.08.2021, 0.2 ,2.9,0.80, 18.5 ," 1,312.7 ",312.64," 1,558 "," 1,662 "," 1,553 "
22.08.2021, 8.5 ,1.6,5.20, 70.2 ," 1,730.1 ",254.55," 1,558 "," 1,662 "," 1,553 "
23.08.2021, 6.0 ,2.9,4.40, 19.8 ," 1,052.3 ",239.57," 1,558 "," 1,662 "," 1,553 "
24.08.2021, 8.7 ,0.4,7.70, 143.5 ," 1,218.9 ",263.28," 1,558 "," 1,662 "," 1,553 "
25.08.2021, 0.3 ,1.5,8.10, 163.9 ," 1,626.0 ",260.09," 1,558 "," 1,662 "," 1,553 "
26.08.2021, 0.2 ,0.7,3.70, 97.9 ," 1,615.2 ",269.35," 1,558 "," 1,662 "," 1,553 "
27.08.2021, 5.1 ,1.2,2.20, 14.9 ," 1,542.3 ",258.28," 1,558 "," 1,662 "," 1,553 "
28.08.2021, 7.4 ,1.4,7.80, 37.0 ," 1,704.9 ",254.53," 1,558 "," 1,662 "," 1,553 "
29.08.2021, 9.8 ,2.6,2.60, 37.1 ," 1,677.7 ",255.53," 1,558 "," 1,662 "," 1,553 "
30.08.2021, 5.7 ,1.4,3.10, 153.7 ," 1,223.7 ",265.24," 1,558 "," 1,662 "," 1,553 "
31.08.2021, 3.4 ,0.1,1.80, 88.5 ," 1,362.9 ",273.48," 1,558 "," 1,662 "," 1,553 "
01.09.2021, 2.1 ,0.9,6.50, 145.6 ," 1,276.9 ",242.67," 1,558 "," 1,662 "," 1,553 "
02.09.2021, 0.4 ,1.6,4.20, 188.9 ," 1,986.0 ",266.87," 1,558 "," 1,662 "," 1,553 "
03.09.2021, 2.1 ,0.2,1.10, 170.2 ," 1,275.3 ",253.94," 1,558 "," 1,662 "," 1,553 "
04.09.2021, 9.1 ,0.8,7.00, 47.4 ," 1,817.8 ",251.58," 1,558 "," 1,662 "," 1,553 "
05.09.2021, 7.2 ,1.0,1.50, 18.4 ," 1,776.2 ",249.21," 1,558 "," 1,662 "," 1,553 "
06.09.2021, 9.3 ,0.8,2.90, 182.4 ," 1,535.2 ",226.12," 1,558 "," 1,662 "," 1,553 "
07.09.2021, 2.2 ,0.0,0.40, 146.2 ," 1,300.9 ",245.79," 1,558 "," 1,662 "," 1,553 "
08.09.2021, 1.5 ,1.5,7.70, 65.4 ," 1,139.7 ",215.87," 1,558 "," 1,662 "," 1,553 "
09.09.2021, 0.5 ,0.0,2.30, 29.3 ," 1,169.6 ",319.01," 1,558 "," 1,662 "," 1,553 "
10.09.2021, 9.8 ,1.8,1.20, 107.4 ," 1,365.5 ",268.68," 1,558 "," 1,662 "," 1,553 "
11.09.2021, 3.2 ,2.8,6.50, 147.2 ," 1,425.0 ",232.20," 1,558 "," 1,662 "," 1,553 "
12.09.2021, 6.7 ,2.7,6.30, 161.5 ," 1,913.1 ",249.71," 1,558 "," 1,662 "," 1,553 "
13.09.2021, 2.5 ,1.1,5.30, 10.6 ," 1,091.9 ",224.53," 1,558 "," 1,662 "," 1,553 "
14.09.2021, 8.5 ,3.0,7.00, 195.1 ," 1,431.1 ",419.82," 1,558 "," 1,662 "," 1,553 "
15.09.2021, 8.2 ,0.9,5.50, 172.3 ," 1,166.9 ",233.12," 1,558 "," 1,662 "," 1,553 "
16.09.2021, 3.2 ,0.8,7.20, 57.3 ," 1,366.4 ",240.70," 1,558 "," 1,662 "," 1,553 "
17.09.2021, 0.1 ,0.0,8.20, 41.6 ," 1,845.5 ",237.63," 1,558 "," 1,662 "," 1,553 "
18.09.2021, 7.1 ,0.4,4.70, 187.3 ," 1,960.0 ",244.71," 1,558 "," 1,662 "," 1,553 "
19.09.2021, 7.7 ,1.9,9.40, 86.6 ," 1,634.0 ",273.53," 1,558 "," 1,662 "," 1,553 "
20.09.2021, 9.6 ,1.4,10.00, 98.4 ," 1,782.4 ",241.74," 1,558 "," 1,662 "," 1,553 "
21.09.2021, 0.6 ,2.5,9.30, 59.9 ," 1,238.8 ",254.21," 1,558 "," 1,662 "," 1,553 "
22.09.2021, 9.8 ,1.3,1.60, 59.7 ," 1,442.5 ",229.34," 1,558 "," 1,662 "," 1,553 "
23.09.2021, 2.4 ,2.0,0.60, 160.2 ," 1,799.3 ",246.20," 1,558 "," 1,662 "," 1,553 "
24.09.2021, 6.9 ,2.1,6.60, 123.6 ," 1,171.7 ",242.33," 1,558 "," 1,662 "," 1,553 "
25.09.2021, 0.1 ,2.1,6.50, 34.7 ," 1,029.3 ",247.95," 1,558 "," 1,662 "," 1,553 "
26.09.2021, 2.3 ,1.0,4.30, 134.6 ," 1,779.7 ",261.31," 1,558 "," 1,662 "," 1,553 "
27.09.2021, 0.4 ,0.4,5.60, 112.2 ," 1,268.2 ",300.73," 1,558 "," 1,662 "," 1,553 "
28.09.2021, 5.1 ,0.1,8.70, 93.9 ," 1,702.3 ",495.88," 1,558 "," 1,662 "," 1,553 "
29.09.2021, 6.9 ,1.8,5.80, 140.5 ," 1,790.7 ",331.18," 1,558 "," 1,662 "," 1,553 "
30.09.2021, 9.7 ,0.7,2.40, 98.3 ," 1,224.4 ",361.29," 1,558 "," 1,662 "," 1,553 "
01.10.2021, 0.9 ,0.4,2.20, 110.4 ," 1,937.2 ",268.27," 1,558 "," 1,662 "," 1,553 "
02.10.2021, 4.8 ,0.4,5.90, 50.3 ," 1,957.1 ",497.48," 1,558 "," 1,662 "," 1,553 "
03.10.2021, 1.5 ,2.9,8.20, 151.3 ," 1,436.7 ",315.90," 1,558 "," 1,662 "," 1,553 "
04.10.2021, 9.5 ,2.9,1.00, 117.0 ," 1,198.3 ",256.75," 1,558 "," 1,662 "," 1,553 "
05.10.2021, 4.9 ,0.5,4.80, 169.4 ," 1,221.9 ",299.46," 1,558 "," 1,662 "," 1,553 "
06.10.2021, 4.2 ,2.8,6.00, 97.0 ," 1,389.3 ",270.46," 1,558 "," 1,662 "," 1,553 "
07.10.2021, 2.5 ,0.3,1.60, 35.4 ," 1,745.2 ",270.48," 1,558 "," 1,662 "," 1,553 "
08.10.2021, 9.0 ,1.5,7.00, 127.9 ," 1,499.9 ",272.13," 1,558 "," 1,662 "," 1,553 "
09.10.2021, 9.3 ,1.6,7.00, 112.9 ," 1,314.6 ",270.64," 1,558 "," 1,662 "," 1,553 "
10.10.2021, 2.1 ,0.4,8.10, 13.6 ," 1,679.4 ",259.43," 1,558 "," 1,662 "," 1,553 "
11.10.2021, 5.2 ,1.3,4.60, 197.9 ," 1,745.9 ",232.52," 1,558 "," 1,662 "," 1,553 "
12.10.2021, 4.2 ,2.3,6.60, 132.7 ," 1,992.1 ",260.19," 1,558 "," 1,662 "," 1,553 "
13.10.2021, 4.9 ,0.0,7.10, 26.6 ," 1,352.9 ",243.47," 1,558 "," 1,662 "," 1,553 "
14.10.2021, 0.5 ,1.1,0.60, 37.1 ," 1,607.7 ",240.66," 1,558 "," 1,662 "," 1,553 "
15.10.2021, 8.6 ,0.3,0.10, 46.8 ," 1,231.8 ",245.69," 1,558 "," 1,662 "," 1,553 "
16.10.2021, 1.1 ,2.8,5.90, 194.3 ," 1,839.1 ",241.42," 1,558 "," 1,662 "," 1,553 "
17.10.2021, 6.1 ,1.5,8.70, 104.0 ," 1,077.3 ",252.36," 1,558 "," 1,662 "," 1,553 "
18.10.2021, 1.1 ,0.1,9.60, 91.6 ," 1,630.7 ",245.20," 1,558 "," 1,662 "," 1,553 "
19.10.2021, 5.8 ,2.2,10.00, 72.3 ," 1,228.5 ",293.71," 1,558 "," 1,662 "," 1,553 "
20.10.2021, 1.3 ,0.0,4.10, 158.9 ," 1,464.4 ",479.53," 1,558 "," 1,662 "," 1,553 "
21.10.2021, 6.1 ,1.1,4.80, 40.8 ," 1,033.4 ",375.49," 1,558 "," 1,662 "," 1,553 "
22.10.2021, 0.4 ,0.8,4.60, 28.0 ," 1,136.9 ",275.58," 1,558 "," 1,662 "," 1,553 "
23.10.2021, 7.1 ,0.8,6.80, 94.4 ," 1,993.6 ",245.07," 1,558 "," 1,662 "," 1,553 "
24.10.2021, 1.4 ,2.6,4.60, 55.6 ," 1,648.2 ",242.93," 1,558 "," 1,662 "," 1,553 "
25.10.2021, 5.8 ,2.4,3.00, 55.3 ," 1,097.4 ",249.90," 1,558 "," 1,662 "," 1,553 "
26.10.2021, 7.7 ,2.0,4.60, 171.5 ," 1,799.1 ",238.50," 1,558 "," 1,662 "," 1,553 "
27.10.2021, 4.0 ,2.9,5.60, 116.0 ," 1,356.0 ",216.01," 1,558 "," 1,662 "," 1,553 "
28.10.2021, 0.4 ,1.7,7.60, 160.2 ," 1,748.4 ",226.47," 1,558 "," 1,662 "," 1,553 "
29.10.2021, 6.2 ,2.0,8.10, 175.6 ," 1,508.1 ",267.47," 1,558 "," 1,662 "," 1,553 "
30.10.2021, 9.8 ,0.5,9.80, 146.8 ," 1,519.1 ",260.82," 1,558 "," 1,662 "," 1,553 "
31.10.2021, 7.3 ,2.6,7.60, 86.7 ," 1,865.3 ",623.14," 1,558 "," 1,662 "," 1,553 "
01.11.2021, 4.8 ,0.8,7.10, 148.5 ," 1,254.1 ",389.73," 1,558 "," 1,662 "," 1,553 "
02.11.2021, 8.2 ,0.7,7.60, 134.4 ," 1,744.5 ",300.75," 1,558 "," 1,662 "," 1,553 "
03.11.2021, 1.4 ,1.8,5.60, 159.4 ," 1,854.0 ",288.04," 1,558 "," 1,662 "," 1,553 "
04.11.2021, 1.4 ,0.0,9.70, 30.9 ," 1,843.7 ",273.43," 1,558 "," 1,662 "," 1,553 "
05.11.2021, 3.9 ,2.2,5.60, 150.7 ," 1,374.0 ",269.97," 1,558 "," 1,662 "," 1,553 "
06.11.2021, 2.4 ,2.2,2.00, 66.9 ," 1,008.1 ",281.92," 1,558 "," 1,662 "," 1,553 "
07.11.2021, 4.9 ,1.8,3.60, 181.3 ," 1,312.7 ",284.34," 1,558 "," 1,662 "," 1,553 "
08.11.2021, 8.5 ,0.3,4.00, 64.1 ," 1,393.0 ",257.49," 1,558 "," 1,662 "," 1,553 "
09.11.2021, 9.7 ,1.1,6.40, 30.7 ," 1,752.4 ",263.17," 1,558 "," 1,662 "," 1,553 "
10.11.2021, 8.2 ,2.9,3.10, 122.3 ," 1,719.9 ",237.06," 1,558 "," 1,662 "," 1,553 "
11.11.2021, 9.8 ,2.1,8.00, 29.9 ," 1,918.7 ",262.79," 1,558 "," 1,662 "," 1,553 "
12.11.2021, 8.7 ,2.0,9.80, 164.0 ," 1,200.2 ",292.76," 1,558 "," 1,662 "," 1,553 "
13.11.2021, 6.0 ,0.0,5.40, 89.1 ," 1,117.5 ",281.20," 1,558 "," 1,662 "," 1,553 "
14.11.2021, 10.0 ,1.1,4.50, 173.6 ," 1,631.9 ",286.49," 1,558 "," 1,662 "," 1,553 "
15.11.2021, 5.2 ,1.0,5.60, 156.2 ," 1,096.3 ",277.80," 1,558 "," 1,662 "," 1,553 "
16.11.2021, 7.3 ,0.3,1.60, 52.6 ," 1,706.6 ",276.39," 1,558 "," 1,662 "," 1,553 "
17.11.2021, 4.3 ,0.7,6.70, 156.1 ," 1,701.0 ",259.71," 1,558 "," 1,662 "," 1,553 "
18.11.2021, 8.0 ,1.1,7.10, 99.2 ," 1,392.1 ",254.27," 1,558 "," 1,662 "," 1,553 "
19.11.2021, 8.6 ,0.8,7.30, 46.7 ," 1,065.1 ",269.19," 1,558 "," 1,662 "," 1,553 "
20.11.2021, 5.4 ,1.2,3.00, 168.1 ," 1,124.3 ",273.84," 1,558 "," 1,662 "," 1,553 "
21.11.2021, 7.9 ,0.2,9.70, 91.8 ," 1,382.2 ",290.91," 1,558 "," 1,662 "," 1,553 "
22.11.2021, 3.9 ,0.1,2.30, 62.6 ," 1,347.4 ",253.67," 1,558 "," 1,662 "," 1,553 "
23.11.2021, 2.3 ,0.2,0.80, 127.0 ," 1,424.2 ",280.69," 1,558 "," 1,662 "," 1,553 "
24.11.2021, 7.7 ,1.9,1.70, 34.0 ," 1,788.2 ",249.00," 1,558 "," 1,662 "," 1,553 "
25.11.2021, 2.1 ,2.1,3.90, 112.4 ," 1,720.5 ",250.17," 1,558 "," 1,662 "," 1,553 "
26.11.2021, 2.2 ,0.2,7.80, 114.6 ," 1,160.1 ",287.47," 1,558 "," 1,662 "," 1,553 "
27.11.2021, 1.4 ,2.7,6.60, 136.8 ," 1,768.4 ",348.76," 1,558 "," 1,662 "," 1,553 "
28.11.2021, 5.0 ,0.1,5.80, 50.6 ," 1,112.2 ",288.27," 1,558 "," 1,662 "," 1,553 "
29.11.2021, 5.3 ,1.9,9.40, 56.1 ," 1,687.3 ",257.12," 1,558 "," 1,662 "," 1,553 "
30.11.2021, 6.8 ,1.3,2.00, 128.4 ," 1,162.8 ",287.20," 1,558 "," 1,662 "," 1,553 "
01.12.2021, 9.1 ,0.0,7.00, 21.5 ," 1,240.1 ",306.32," 1,558 "," 1,662 "," 1,553 "
02.12.2021, 6.5 ,1.3,9.40, 11.1 ," 1,516.9 ",273.82," 1,558 "," 1,662 "," 1,553 "
03.12.2021, 4.9 ,2.4,8.40, 59.8 ," 1,054.8 ",281.61," 1,558 "," 1,662 "," 1,553 "
04.12.2021, 4.9 ,1.9,9.50, 16.4 ," 1,062.4 ",292.49," 1,558 "," 1,662 "," 1,553 "
05.12.2021, 4.0 ,0.4,4.30, 175.3 ," 1,147.7 ",303.32," 1,558 "," 1,662 "," 1,553 "
06.12.2021, 7.5 ,0.1,7.00, 143.9 ," 1,858.0 ",293.71," 1,558 "," 1,662 "," 1,553 "
07.12.2021, 5.3 ,0.2,5.70, 118.1 ," 1,745.4 ",340.63," 1,558 "," 1,662 "," 1,553 "
08.12.2021, 4.8 ,0.3,8.60, 42.9 ," 1,286.5 ",332.04," 1,558 "," 1,662 "," 1,553 "
09.12.2021, 1.1 ,0.6,7.50, 184.7 ," 1,567.7 ",407.77," 1,558 "," 1,662 "," 1,553 "
10.12.2021, 4.7 ,0.5,3.70, 116.4 ," 1,684.2 ",466.21," 1,558 "," 1,662 "," 1,553 "
11.12.2021, 5.4 ,0.7,5.70, 127.1 ," 1,512.1 ",389.28," 1,558 "," 1,662 "," 1,553 "
12.12.2021, 3.5 ,1.9,2.00, 36.8 ," 1,951.6 ",401.98," 1,558 "," 1,662 "," 1,553 "
13.12.2021, 7.8 ,1.7,6.60, 180.6 ," 1,486.5 ",369.94," 1,558 "," 1,662 "," 1,553 "
14.12.2021, 8.9 ,1.6,6.10, 132.4 ," 1,623.6 ",379.63," 1,558 "," 1,662 "," 1,553 "
15.12.2021, 8.9 ,0.5,8.20, 158.6 ," 1,188.8 ",335.00," 1,558 "," 1,662 "," 1,553 "
16.12.2021, 2.1 ,1.8,5.10, 23.1 ," 1,310.2 ",341.02," 1,558 "," 1,662 "," 1,553 "
17.12.2021, 4.3 ,2.3,2.90, 158.6 ," 1,258.0 ",326.06," 1,558 "," 1,662 "," 1,553 "
18.12.2021, 6.4 ,0.0,2.50, 196.2 ," 1,746.5 ",320.42," 1,558 "," 1,662 "," 1,553 "
19.12.2021, 8.5 ,2.9,8.40, 180.0 ," 1,576.8 ",330.47," 1,558 "," 1,662 "," 1,553 "
20.12.2021, 3.3 ,2.8,8.40, 165.4 ," 1,290.1 ",302.04," 1,558 "," 1,662 "," 1,553 "
21.12.2021, 6.3 ,0.5,3.30, 79.0 ," 1,745.9 ",323.38," 1,558 "," 1,662 "," 1,553 "
22.12.2021, 1.1 ,2.3,6.60, 35.5 ," 1,875.6 ",294.92," 1,558 "," 1,662 "," 1,553 "
23.12.2021, 7.4 ,1.2,9.80, 174.0 ," 1,596.5 ",324.28," 1,558 "," 1,662 "," 1,553 "
24.12.2021, 4.2 ,0.2,2.30, 33.3 ," 1,522.4 ",521.64," 1,558 "," 1,662 "," 1,553 "
25.12.2021, 4.3 ,2.7,7.40, 30.5 ," 1,067.8 ",646.65," 1,558 "," 1,662 "," 1,553 "
26.12.2021, 1.8 ,2.1,9.80, 38.3 ," 1,451.7 ",741.35," 1,558 "," 1,662 "," 1,553 "
27.12.2021, 3.8 ,1.4,6.90, 43.1 ," 1,965.4 ",573.88," 1,558 "," 1,662 "," 1,553 "
28.12.2021, 9.9 ,0.2,9.50, 133.0 ," 1,185.3 ",554.37," 1,558 "," 1,662 "," 1,553 "
29.12.2021, 4.5 ,2.2,2.80, 167.1 ," 1,526.7 ",480.40," 1,558 "," 1,662 "," 1,553 "
30.12.2021, 7.8 ,1.1,0.10, 87.5 ," 1,257.8 ",480.11," 1,558 "," 1,662 "," 1,553 "
31.12.2021, 2.7 ,0.6,7.50, 179.4 ," 1,974.4 ",543.36," 1,558 "," 1,662 "," 1,553 "
